"","state","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc"
"1","Alabama",4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5
"2","Alaska",738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8
"3","Arizona",6946685,37.4,4.4,31.1,113990,"24","25.3","8.6","18","10.9","86.8","28.9",16.1
"4","Arkansas",2990671,37.9,15.4,7.3,53179,"34.1","22.6","7","14.4","8.1","86.2","22.6",17.6
"5","California",39148760,36.3,5.8,38.9,163695,"20.6","21.3","7.8","20.8","12.5","82.9","33.3",14.3
"6","Colorado",5531141,36.6,4.1,21.4,104094,"21.4","21.4","8.4","25.2","15","91.4","40.1",10.9
"7","Connecticut",3581504,40.8,10.6,15.7,5543,"27.1","16.8","7.7","21.7","17.2","90.5","38.9",10
"8","Delaware",949495,40.2,22.1,9.1,2489,"31.6","19","7.8","18.3","13.1","89.8","31.4",11.9
"9","District of Columbia",684498,33.9,46.9,10.9,68,"17.2","12.9","3","24.4","33.2","90.6","57.6",16.8
"10","Florida",20598139,41.9,16.1,25.2,65758,"28.8","20.2","9.8","18.5","10.6","88","29.2",14.8
"11","Georgia",10297484,36.5,31.5,9.4,59425,"27.9","20.5","7.6","18.9","11.7","86.7","30.7",16
"12","Hawaii",1422029,38.9,1.8,10.4,10932,"27.7","21","10.6","21.5","11","91.8","32.5",9.9
"13","Idaho",1687809,36.1,0.7,12.4,83569,"27.7","26.4","9.6","18.2","8.7","90.6","26.9",13.8
"14","Illinois",12821497,37.9,14.2,17,57914,"26.1","20.7","8","20.8","13.3","88.9","34.1",13.1
"15","Indiana",6637426,37.6,9.3,6.8,36420,"33.5","20.4","8.7","16.5","9.4","88.6","25.9",14.1
"16","Iowa",3132499,38.1,3.5,5.9,56273,"31.1","21.2","11.5","19","9.2","92","28.2",11.7
"17","Kansas",2908776,36.5,5.8,11.7,82278,"26","23.3","8.5","20.8","12.1","90.7","32.9",12.4
"18","Kentucky",4440204,38.7,8,3.6,40408,"33","20.9","8.1","13.8","9.8","85.7","23.6",17.9
"19","Louisiana",4663616,36.6,32.2,5,52378,"34","21.1","6","15.5","8.2","84.8","23.7",19.4
"20","Maine",1332813,44.6,1.3,1.6,35380,"31.8","19.6","10","19.6","11.3","92.3","30.9",12.5
"21","Maryland",6003435,38.6,29.8,9.8,12406,"24.8","18.9","6.6","21.3","18.3","90","39.6",9.4
"22","Massachusetts",6830193,39.4,7.5,11.6,10554,"24.2","15.6","7.7","23.8","19.1","90.4","42.9",10.8
"23","Michigan",9957488,39.7,13.8,5,96714,"29","23.5","9.4","17.4","11.2","90.5","28.6",15
"24","Minnesota",5527358,37.9,6.2,5.3,86936,"24.9","21.2","11.4","23.3","12.1","93","35.4",10.1
"25","Mississippi",2988762,37.2,37.7,3,48432,"30.3","22.4","9.4","13.5","8.3","83.9","21.8",20.8
"26","Missouri",6090062,38.5,11.6,4.1,69707,"30.7","22.4","7.8","17.7","10.9","89.6","28.6",14.2
"27","Montana",1041732,39.8,0.4,3.7,147040,"29.2","23.8","9","20.8","10.4","93.2","31.2",13.7
"28","Nebraska",1904760,36.4,4.8,10.7,77348,"26.3","23","10.5","20.8","10.5","91.1","31.3",11.6
"29","Nevada",2922849,37.9,8.9,28.5,110572,"28.1","25.7","8.2","15.9","8.4","86.3","24.2",13.7
"30","New Hampshire",1343622,42.7,1.5,3.6,9349,"27.6","18.7","10.1","22.4","14.1","92.9","36.5",7.9
"31","New Jersey",8881845,39.8,13.5,19.9,8723,"27.5","16.6","6.5","23.8","15.1","89.5","38.9",10.4
"32","New Mexico",2092434,37.5,2.1,48.5,121590,"26.4","23.5","8.2","15.3","11.8","85.3","27.1",20
"33","New York",19618453,38.7,15.6,18.9,54555,"26.1","15.7","8.7","20.2","15.7","86.5","35.9",14.6
"34","North Carolina",10155624,38.6,21.5,9.2,53819,"25.9","21.5","9.5","19.6","10.9","87.4","30.5",15.4
"35","North Dakota",752201,35.1,2.7,3.5,70698,"26.8","22.6","13.7","21.5","7.9","92.5","29.5",10.9
"36","Ohio",11641879,39.3,12.4,3.7,44826,"33.3","20.5","8.6","17.3","10.5","90.1","27.8",14.5
"37","Oklahoma",3918137,36.4,7.3,10.4,69899,"31.3","23.6","7.7","16.7","8.5","87.8","25.2",16
"38","Oregon",4081943,39.2,1.9,12.8,98379,"23","25.7","8.8","20.5","12.4","90.4","32.9",14.1
"39","Pennsylvania",12791181,40.7,11.1,7.1,46054,"35.1","16","8.3","18.6","12.1","90.2","30.8",12.8
"40","Puerto Rico",3386941,40.9,10.8,98.9,5325,"null","null","null","null","null","null","null",44.5
"41","Rhode Island",1056611,39.9,6.6,15,1545,"28.2","18.2","8.3","19.9","13.4","88","33.3",13.1
"42","South Carolina",4955925,39.2,27,5.6,32020,"29.5","20.6","9.6","17.4","10","87.1","27.4",16
"43","South Dakota",864289,36.8,1.9,3.7,77116,"30.6","21.2","11.5","19.8","8.6","91.7","28.5",13.6
"44","Tennessee",6651089,38.7,16.8,5.3,42144,"32.4","20.8","7.1","16.8","9.8","87","26.6",16.1
"45","Texas",27885195,34.4,12.1,39.2,268596,"25","21.8","7.1","19.1","10.2","83.2","29.3",15.5
"46","Utah",3045350,30.7,1.2,13.9,84897,"22.9","26.1","9.8","22","11.3","92","33.3",10.3
"47","Vermont",624977,42.9,1.3,1.9,9616,"29.2","17.6","8.5","22.1","15.3","92.6","37.3",11.2
"48","Virginia",8413774,38.1,19.2,9.2,42775,"24.1","19.4","7.6","21.7","16.4","89.3","38.2",10.9
